player,player_id,organization_id,game_date,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Bryant McIntosh,0,1,2017-11-10,38,4,13,.308,4,8,.500,0,5,.000,8,8,1.000,2,2,4,7,3,1,4,1,16
Scottie Lindsey,0,1,2017-11-10,35,9,20,.450,5,9,.556,4,11,.364,4,8,.500,1,8,9,0,1,1,0,2,26
Vic Law,0,1,2017-11-10,35,4,12,.333,3,8,.375,1,4,.250,3,5,.600,1,6,7,1,0,3,0,4,12
Dererk Pardon,0,1,2017-11-10,29,6,9,.667,6,9,.667,0,0,,4,10,.400,5,2,7,0,0,3,3,4,16
Gavin Skelly,0,1,2017-11-10,19,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,2,2,1,1,2,2,4,3
Isiah Brown,0,1,2017-11-10,14,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,4
Anthony Gaines,0,1,2017-11-10,12,0,2,.000,0,2,.000,0,0,,2,2,1.000,0,1,1,1,0,0,3,4,2
Barret Benson,0,1,2017-11-10,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,5,5,1,0,2,1,4,0
Jordan Ash,0,1,2017-11-10,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
Barret Benson,0,1,2017-11-13,3,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,2,0,2
Isiah Brown,0,1,2017-11-13,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0
Jordan Ash,0,1,2017-11-13,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
Anthony Gaines,0,1,2017-11-13,15,2,4,.500,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,3,2,5
Dererk Pardon,0,1,2017-11-13,36,4,9,.444,4,9,.444,0,0,,7,8,.875,1,3,4,3,0,0,5,3,15
Gavin Skelly,0,1,2017-11-13,31,4,7,.571,3,4,.750,1,3,.333,5,5,1.000,3,3,6,1,0,1,2,4,14
